query,true_intent,predicted_intent,confidence,interaction,num_interactions,is_correct,selection_category,dataset
my account shows a transaction that i didn't make from foot locker,report_fraud,report_fraud,0.9627862307370064,"User: my account shows a transaction that i didn't make from foot locker
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['transactions', 'report_fraud', 'account_blocked'])
User: I want to report fraud. I definitely didn’t make that transaction at Foot Locker. Can you help me with that?
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['report_fraud', 'transactions', 'account_blocked'])
User: I already told you I want to report fraud! I didn’t make that transaction at Foot Locker, and I need help with it. Can you please assist me with the fraud report?
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['report_fraud', 'transactions', 'account_blocked'])
User: I already told you I want to report fraud! I didn’t make that transaction at Foot Locker, and I need help with it. Can you please just guide me on how to report this? It's really frustrating that I keep getting the same response.",3,True,successful_level2,clinc150
can you help me unblock my account,account_blocked,unknown,0.0,"User: can you help me unblock my account
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a mix-up. I’m trying to say that I need help unblocking my account. Can you help me with that?
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['account_blocked', 'freeze_account', 'report_fraud'])
User: I just need help with my account being blocked. Can you guide me on how to unblock it?
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['account_blocked', 'freeze_account', 'report_fraud'])
User: I already told you I need help with my account being blocked! Can you just give me the steps to unblock it? I don't need to choose from suggestions, I just want to know what to do next.
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['account_blocked', 'freeze_account', 'report_fraud'])
User: I already told you, my account is blocked! I just want to know how to unblock it. Can you please give me the steps or tell me what I need to do? This is really frustrating.
Chatbot: It seems like you're looking for something related to banking. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['account_blocked', 'freeze_account', 'pin_change'])
User: I already told you my account is blocked! I just want to know how to unblock it. None of those options are helping me. Can you please just give me the steps or tell me what I need to do? This is really frustrating!",5,False,problematic_level2,clinc150
what will tomorrow be on the calendar,date,date,0.9501943974305732,"User: what will tomorrow be on the calendar
Chatbot: There are a few things that might match: (['date', 'calendar']). Could you clarify a bit more?
User: Sure! I just want to know what day tomorrow is on the calendar. Like, is it a weekday or weekend, and what’s the date?
Chatbot: There are a few things that might match: (['date', 'calendar']). Could you clarify a bit more?
User: I just want to know what day it is tomorrow. Like, is it a weekday or a weekend, and what’s the actual date? Can you help me with that?
Chatbot: There are a few things that might match: (['date', 'calendar']). Could you clarify a bit more?
User: I feel like I've already explained what I'm looking for. I just want to know what day it is tomorrow—like, is it a weekday or a weekend, and what’s the date? Can you help me with that?
Chatbot: There are a few things that might match: (['date', 'calendar']). Could you clarify a bit more?
User: I feel like I've already explained what I'm looking for. I just want to know what day it is tomorrow—like, is it a weekday or a weekend, and what’s the actual date? Can you help me with that?",4,True,successful_level2,clinc150
can you place an order for the olive oil i just finished,order,order,0.6583242848378638,"User: can you place an order for the olive oil i just finished
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a mix-up! I was just trying to ask if you could help me reorder the olive oil I just finished. Can you help me with that?
Chatbot: It seems like you're looking for something related to home. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['order', 'order_status', 'shopping_list_update'])
User: I just want to reorder the olive oil, so I guess I’d choose ""order."" Can you help me with that?",2,True,successful_level1,clinc150
can you buy something,order,unknown,0.0,"User: can you buy something
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a mix-up! I was asking if you can help me buy something. Like, can you assist with making a purchase or finding a product?
Chatbot: There are a few things that might match: (['order', 'what_can_i_ask_you']). Could you clarify a bit more?
User: Sure! I’m looking to buy something online, but I’m not sure where to start. Can you help me find a specific product or guide me through the ordering process?
Chatbot: There are a few things that might match: (['order', 'what_can_i_ask_you']). Could you clarify a bit more?
User: I’m not really sure what those options mean. I just want help finding a product online and maybe some guidance on how to order it. Can you help me with that? Like, maybe suggest some websites or tips for making a purchase?
Chatbot: There are a few things that might match: (['order', 'what_can_i_ask_you']). Could you clarify a bit more?
User: I’m not really sure what those options mean. I just want to find a product online and get some help with the ordering process. Can you suggest some websites where I can look for products or give me tips on how to make a purchase?
Chatbot: There are a few things that might match: (['order', 'what_can_i_ask_you']). Could you clarify a bit more?
User: I feel like we're going in circles here! I just want some help finding a product online and figuring out how to order it. Can you suggest some websites where I can look for stuff or give me some tips on making a purchase?",5,False,problematic_level2,clinc150
how do i ask the ai to help me with math problem,calculator,what_can_i_ask_you,0.8001801893648641,"User: how do i ask the ai to help me with math problem
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there was a misunderstanding. I was just trying to figure out how to get help with a math problem using AI. Like, do I just type out the problem, or is there a specific way I should ask?
Chatbot: There are a few things that might match: (['calculator', 'what_can_i_ask_you']). Could you clarify a bit more?
User: Sure! I guess I'm just trying to figure out the best way to ask for help with a math problem. Like, if I have a specific equation or concept I'm struggling with, should I just type it out as is? Or is there a better format or way to phrase it to get the best help?
Chatbot: There are a few things that might match: (['what_can_i_ask_you', 'calculator', 'maybe']). Could you clarify a bit more?
User: I’m not really sure what those options mean in this context. I just want to know how to ask for help with a math problem. Like, if I have a specific equation, should I just type it out directly? Or is there a better way to phrase it to get the most useful response?",3,False,problematic_level2,clinc150
i have a revolving store card and defaulted so will my fico score be affected,improve_credit_score,improve_credit_score,0.76979747641528,"User: i have a revolving store card and defaulted so will my fico score be affected
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I was just asking if defaulting on my revolving store card will hurt my FICO score. I thought it might be a pretty straightforward question. Can you help me with that?
Chatbot: It seems like you're looking for something related to credit_cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['improve_credit_score', 'damaged_card', 'redeem_rewards'])
User: I appreciate the suggestions, but none of those really address my question. I'm just trying to find out if defaulting on my revolving store card will negatively impact my FICO score. Can you help me with that?
Chatbot: It seems like you're looking for something related to credit_cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['improve_credit_score', 'application_status', 'card_declined'])
User: I appreciate the options, but none of those really help with my question. I'm just trying to understand if defaulting on my revolving store card will hurt my FICO score. Can you give me a straight answer about that?
Chatbot: It seems like you're looking for something related to credit_cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['improve_credit_score', 'card_declined', 'application_status'])
User: I really just want to know if defaulting on my revolving store card will hurt my FICO score. None of those options you provided seem to relate to that. Can you just give me a clear answer about how defaulting affects my credit score?",4,True,successful_level2,clinc150
i want to know how many vacation days i have used,pto_used,pto_used,0.8966039844442608,"User: i want to know how many vacation days i have used
Chatbot: It seems like you're looking for something related to work. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['pto_used', 'pto_balance', 'pto_request_status'])
User: I just want to know how many vacation days I've used so far. So I guess that would be the 'pto_used' option? Can you help me with that?
Chatbot: It seems like you're looking for something related to work. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['pto_used', 'pto_balance', 'pto_request'])
User: I already mentioned that I want to know how many vacation days I've used, which I think is the 'pto_used' option. Can you just give me that info? It's a bit frustrating to keep going in circles here.
Chatbot: It seems like you're looking for something related to work. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['pto_used', 'pto_balance', 'pto_request'])
User: Okay, I get that you're trying to help, but I've already told you I want to know how many vacation days I've used, which is 'pto_used.' Can you just give me that info? It's really frustrating to keep going in circles here.",3,True,successful_level2,clinc150
i'd like to know what bitcoin means,definition,unknown,0.0,"User: i'd like to know what bitcoin means
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there was a misunderstanding. I was asking about what bitcoin means. Can you give me a simple explanation of it? Like, what is it and how does it work?
Chatbot: There are a few things that might match: (['definition', 'meaning_of_life']). Could you clarify a bit more?
User: I think there’s still some confusion here. I’m really just looking for a simple explanation of what Bitcoin is and how it works. Like, what makes it different from regular money? Can you help with that?
Chatbot: There are a few things that might match: (['definition', 'account_blocked', 'exchange_rate']). Could you clarify a bit more?
User: I think there's still a misunderstanding here. I'm really just looking for a straightforward explanation of Bitcoin. Like, what it is, how it works, and what makes it different from regular money. Can you help me with that?
Chatbot: There are a few things that might match: (['definition', 'account_blocked', 'exchange_rate']). Could you clarify a bit more?
User: I appreciate you trying to help, but none of those options really fit what I'm asking. I'm just looking for a simple explanation of Bitcoin—what it is, how it works, and how it's different from regular money. Can you give me that info?
Chatbot: There are a few things that might match: (['definition', 'account_blocked', 'maybe']). Could you clarify a bit more?
User: I think there's still a misunderstanding. I'm really just looking for a simple explanation of Bitcoin. Like, what it is, how it works, and how it's different from regular money. None of those options you mentioned seem to fit what I'm asking. Can you just give me a straightforward answer about Bitcoin?",5,False,problematic_level2,clinc150
there is no way in heck that is true,no,maybe,0.9291502896418148,"User: there is no way in heck that is true
Chatbot: It seems like you're looking for something related to meta. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['no', 'maybe', 'yes'])
User: Uh, I think you might be misunderstanding me. I'm not looking for suggestions like that. I just want to talk about something specific, but I’m not sure how to explain it. Can you help me out with that?
Chatbot: It seems like you're looking for something related to meta. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['maybe', 'no', 'repeat'])
User: Okay, this is getting a bit frustrating. I’m not looking for suggestions or options. I just want to talk about something specific, but I’m having a hard time explaining it. Can you just help me figure out how to express what I mean?",2,False,problematic_level1,clinc150
