query,true_intent,predicted_intent,confidence,interaction,num_interactions,is_correct,selection_category,dataset
Can I link another card to my account?,card_linking,card_linking,0.8956690920279148,"User: Can I link another card to my account?
Chatbot: There are a few things that might match: (['card_linking', 'getting_spare_card']). Could you clarify a bit more?
User: Sure! I'm trying to link another card to my account. I just want to know if that's possible and how to do it.
Chatbot: There are a few things that might match: (['card_linking', 'getting_spare_card']). Could you clarify a bit more?
User: I already mentioned that I'm trying to link another card to my account. Can you just tell me if that's possible and how I can do it? I don't need to go through options again.",2,True,successful_level1,banking77
"Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?",lost_or_stolen_card,lost_or_stolen_card,0.8169324984127116,"User: Someone stole my wallet earlier today, not sure exactly when, probably on Piccadilly circus. Can you check if there were any attempts to use the card and obviously block it?
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a misunderstanding. I’m trying to report that my wallet was stolen, and I need help checking if my card has been used since then. Also, I want to block the card to prevent any unauthorized transactions. Can you help me with that?
Chatbot: There are a few things that might match: (['compromised_card', 'lost_or_stolen_card']). Could you clarify a bit more?
User: Sure! My wallet was stolen, so I definitely need to report it as a lost or stolen card. I want to make sure my card is blocked to prevent any unauthorized use. Can you help me with that?
Chatbot: There are a few things that might match: (['lost_or_stolen_card', 'compromised_card']). Could you clarify a bit more?
User: I think I’ve already made it pretty clear! My wallet was stolen, so I need to report my card as lost or stolen. I want to block it right away to stop any unauthorized transactions. Can you help me with that?",3,True,successful_level2,banking77
can you cancel improv class from my calendar for may 7th,calendar_update,cancel_reservation,0.6315195402603442,"User: can you cancel improv class from my calendar for may 7th
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a mix-up. I was just trying to cancel my improv class on May 7th. Can you help me with that?
Chatbot: There are a few things that might match: (['calendar_update', 'cancel_reservation', 'calendar']). Could you clarify a bit more?
User: Sure! I just want to cancel my improv class reservation for May 7th. So I guess ""cancel_reservation"" would be the right option? Can you help me with that?",2,False,problematic_level1,clinc150
what time is it in the greenwich timezone,time,time,0.7914639734178581,"User: what time is it in the greenwich timezone
Chatbot: There are a few things that might match: (['timezone', 'time']). Could you clarify a bit more?
User: Sure! I just want to know what the current time is in the Greenwich timezone. Can you help me with that?
Chatbot: There are a few things that might match: (['time', 'timezone']). Could you clarify a bit more?
User: I just want to know the current time in the Greenwich timezone, like right now. Can you give me that info?",2,True,successful_level1,clinc150
can you tell me where my item is,order_status,order_status,0.8884704837817111,"User: can you tell me where my item is
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I think there’s been a mix-up. I was asking about the location of my item. Can you help me track it down?
Chatbot: There are a few things that might match: (['current_location', 'find_phone', 'lost_luggage']). Could you clarify a bit more?
User: Sure! I'm actually looking for the current location of my order. I think it might have gotten delayed or something. Can you help me with that?
Chatbot: There are a few things that might match: (['order_status', 'current_location', 'find_phone']). Could you clarify a bit more?
User: I just want to know the current location of my order. It feels like it’s taking longer than expected, and I’m a bit worried it might be lost or delayed. Can you give me an update on that?
Chatbot: There are a few things that might match: (['order_status', 'current_location']). Could you clarify a bit more?
User: I just want to know the current location of my order. I’m really anxious about it since it seems to be taking longer than I expected. Can you give me the latest update on where it is?",4,True,successful_level2,clinc150
What is the transfer fee charge?,transfer_fee_charged,transfer_fee_charged,0.874749191186484,"User: What is the transfer fee charge?
Chatbot: There are a few things that might match: (['transfer_fee_charged', 'top_up_by_bank_transfer_charge']). Could you clarify a bit more?
User: Sure! I'm trying to figure out what the transfer fee is when I send money. Is ""transfer_fee_charged"" the one I should look at, or is it ""top_up_by_bank_transfer_charge""? I just want to know how much it costs to transfer funds.
Chatbot: There are a few things that might match: (['transfer_fee_charged', 'top_up_by_bank_transfer_charge']). Could you clarify a bit more?
User: I already mentioned that I'm trying to find out the cost of transferring money. Can you just tell me if ""transfer_fee_charged"" is the right one to look at for the fee when I send money, or is it ""top_up_by_bank_transfer_charge""? I just want to know which one applies to sending funds.",2,True,successful_level1,banking77
I have a problem!  The ATM stole my card!,card_swallowed,card_swallowed,0.8594789701226104,"User: I have a problem!  The ATM stole my card!
Chatbot: It seems like you're looking for something related to Physical Cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['card_swallowed', 'lost_or_stolen_card', 'card_not_working'])
User: I think my card was swallowed by the ATM. I really need help with that! What should I do?
Chatbot: It seems like you're looking for something related to Physical Cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['card_swallowed', 'lost_or_stolen_card', 'card_not_working'])
User: I already told you that my card was swallowed by the ATM! I really need to know what to do next. Can you help me with that?",2,True,successful_level1,banking77
How do I reset my PIN?,pin_blocked,change_pin,0.8339904817977867,"User: How do I reset my PIN?
Chatbot: There are a few things that might match: (['pin_blocked', 'change_pin']). Could you clarify a bit more?
User: Sure! I just want to reset my PIN because I forgot it. So I guess I need to go with the ""change_pin"" option? Can you help me with that?
Chatbot: There are a few things that might match: (['change_pin', 'pin_blocked']). Could you clarify a bit more?
User: I already mentioned that I want to reset my PIN because I forgot it. So, I think I need to go with the ""change_pin"" option. Can you just help me with that? I'm not sure why we're going in circles here.",2,False,problematic_level1,banking77
what is in a burrito recipe,recipe,recipe,0.94625712346797,"User: what is in a burrito recipe
Chatbot: It seems like you're looking for something related to kitchen_and_dining. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['ingredients_list', 'recipe', 'cook_time'])
User: I’m just looking for a basic burrito recipe. Can you give me the steps to make one?
Chatbot: It seems like you're looking for something related to kitchen_and_dining. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['recipe', 'ingredients_list', 'cook_time'])
User: I already mentioned I want a basic burrito recipe! Can you just give me the steps to make one? I don't need to choose between options.",2,True,successful_level1,clinc150
Can I get a copy of the card by email?,getting_virtual_card,unknown,0.0,"User: Can I get a copy of the card by email?
Chatbot: I'm not entirely sure what you're asking. Could you rephrase your question a bit?
User: I was just wondering if it's possible to get a copy of my card sent to my email. Is that something you can help with?
Chatbot: It seems like you're looking for something related to Physical Cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['card_arrival', 'order_physical_card', 'getting_spare_card'])
User: I think I’m looking for information on getting a spare card. Can you help me with that?
Chatbot: It seems like you're looking for something related to Physical Cards. Could you clarify which specific thing you're interested in? Here are a few suggestions: (['card_arrival', 'getting_spare_card', 'order_physical_card'])
User: I already mentioned that I'm interested in getting a spare card. Can you just give me the info on how to do that?
Chatbot: There are a few things that might match: (['getting_spare_card', 'card_linking']). Could you clarify a bit more?
User: I just want to know how to get a spare card. I don't need info on card linking right now. Can you just give me the steps or details on how to request a spare card? Thanks!
Chatbot: There are a few things that might match: (['card_linking', 'getting_spare_card']). Could you clarify a bit more?
User: I feel like I've already been pretty clear! I'm just trying to find out how to request a spare card. Can you please just give me the steps or details on how to do that? I really don't need info on card linking right now. Thanks!",5,False,problematic_level2,banking77
